card_name,Image Link,Know More Link,Joining Fee,Renewal Fee,Best Suited For,Reward Type,Welcome Benefits
ICICI Bank Coral Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/06/ICICI-Bank-Coral-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-coral-credit-card/,Joining Fee     Rs. 500 + GST       Renewal Fee     Rs. 500 + GST    Best Suited For  Movies | Dining  Reward Type Reward Points Welcome Benefits  N/A,Rs. 500 + GST,Movies | Dining,Reward Points,N/A
MakeMyTrip ICICI Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/10/MakeMyTrip-ICICI-Bank-Credit-Card.webp,https://cardinsider.com/icici-bank/makemytrip-icici-bank-credit-card/,"Joining Fee     ₹999 + GST       Renewal Fee     ₹999 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  ₹1,000 MMT Voucher and MMTBLACK Gold Tier Membership",₹999 + GST,Travel,Reward Points,"₹1,000 MMT Voucher and MMTBLACK Gold Tier Membership"
ICICI Bank Platinum Chip Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-Platinum-Chip-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-platinum-chip-credit-card/,Joining Fee     Lifetime Free       Renewal Fee     Lifetime Free    Best Suited For  Dining | Shopping  Reward Type Reward Points Welcome Benefits  N/A,Lifetime Free,Dining | Shopping,Reward Points,N/A
Times Black ICICI Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/12/Times-Black-ICICI-Bank-Credit-Card.webp,https://cardinsider.com/icici-bank/times-black-icici-bank-credit-card-review/,"Joining Fee     ₹20,000 + GST       Renewal Fee     ₹20,000 + GST    Best Suited For  Travel | Shopping  Reward Type Reward Points Welcome Benefits  ₹10,000 EaseMyTrip Hotel Voucher, ₹10,000 Onevasco & More Visa Services, ₹3,000 Toni & Guy Voucher and Zomato Gold Membership","₹20,000 + GST",Travel | Shopping,Reward Points,"₹10,000 EaseMyTrip Hotel Voucher, ₹10,000 Onevasco & More Visa Services, ₹3,000 Toni & Guy Voucher and Zomato Gold Membership"
ICICI Bank Rubyx Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-Rubyx-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-rubyx-credit-card/,"Joining Fee     Rs. 3,000 + GST       Renewal Fee     Rs. 2,000 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  Travel & Shopping Vouchers Worth Rs. 5,000","Rs. 3,000 + GST",Travel,Reward Points,"Travel & Shopping Vouchers Worth Rs. 5,000"
Amazon Pay ICICI Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/06/Amazon-Pay-ICICI-Bank-Credit-Card-1.webp,https://cardinsider.com/icici-bank/amazon-pay-icici-bank-credit-card/,"Joining Fee     Lifetime Free       Renewal Fee     Lifetime Free    Best Suited For  Shopping  Reward Type Cashback Welcome Benefits  Cashback and Discounts Up to ₹2,500 (Both for Prime and Non-Prime Members) and One Month EazyDiner Membership",Lifetime Free,Shopping,Cashback,"Cashback and Discounts Up to ₹2,500 (Both for Prime and Non-Prime Members) and One Month EazyDiner Membership"
ICICI Bank HPCL Super Saver Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-HPCL-Super-Saver-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-hpcl-super-saver-credit-card/,"Joining Fee     ₹500 + GST       Renewal Fee     ₹500 + GST    Best Suited For  Fuel | Shopping  Reward Type Reward Points Welcome Benefits  2,000 bonus Reward Points on paying the membership fee within 2 months and spending at least Rs. 5,000 within the first 45 days of card issuance; Rs. 100 cashback on HP Pay app on the first fuel purchase of Rs. 1,000 or more.",₹500 + GST,Fuel | Shopping,Reward Points,"2,000 bonus Reward Points on paying the membership fee within 2 months and spending at least Rs. 5,000 within the first 45 days of card issuance; Rs. 100 cashback on HP Pay app on the first fuel purchase of Rs. 1,000 or more."
Adani One ICICI Bank Platinum Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/Adani-One-ICICI-Bank-Platinum-Credit-Card.webp,https://cardinsider.com/icici-bank/adani-one-icici-bank-platinum-credit-card/,"Joining Fee     ₹750 + GST       Renewal Fee     ₹750 + GST    Best Suited For  Travel  Reward Type Adani Reward Points Welcome Benefits  Hotel Voucher Worth ₹1,000. Flight Voucher Worth ₹2,000 on Spends of ₹10,000.",₹750 + GST,Travel,Adani Reward Points,"Hotel Voucher Worth ₹1,000. Flight Voucher Worth ₹2,000 on Spends of ₹10,000."
Adani One Signature Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2024/06/Adani-One-Signature-Credit-Card.webp,https://cardinsider.com/icici-bank/adani-one-signature-credit-card/,"Joining Fee     Rs. 5,000 + GST       Renewal Fee     Rs. 5,000 + GST    Best Suited For  Movies | Travel  Reward Type Adani Reward Points Welcome Benefits  Hotel and Holiday Voucher Worth ₹2,000 Each. ₹5,000 Flight Voucher on Spends of ₹25,000 Within 60 Days of Card Activation","Rs. 5,000 + GST",Movies | Travel,Adani Reward Points,"Hotel and Holiday Voucher Worth ₹2,000 Each. ₹5,000 Flight Voucher on Spends of ₹25,000 Within 60 Days of Card Activation"
ICICI Bank Sapphiro Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/10/ICICI-Bank-Sapphiro-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-sapphiro-credit-card/,"Joining Fee     ₹6,500 + GST       Renewal Fee     ₹3,500 + GST    Best Suited For  Travel | Shopping  Reward Type Reward Points Welcome Benefits  Exclusive Travel & Shopping Vouchers Worth More than ₹9,500 (From Tata CliQ, EaseMyTrip, Uber, Croma)","₹6,500 + GST",Travel | Shopping,Reward Points,"Exclusive Travel & Shopping Vouchers Worth More than ₹9,500 (From Tata CliQ, EaseMyTrip, Uber, Croma)"
ICICI Bank Expressions Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-Expressions-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-expressions-credit-card/,Joining Fee     Rs. 500 + GST       Renewal Fee     Rs. 500 + GST    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  N/A,Rs. 500 + GST,Shopping,Reward Points,N/A
ICICI Bank Emeralde Private Metal Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2023/07/ICICI-Bank-Emeralde-Private-Metal-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-emeralde-private-metal-credit-card/,"Joining Fee     ₹12,499 + GST       Renewal Fee     ₹12,499 + GST    Best Suited For  Travel | Shopping  Reward Type Reward Points Welcome Benefits  Complimentary Taj Epicure and EazyDiner Membership and 12,500 Bonus Reward Points","₹12,499 + GST",Travel | Shopping,Reward Points,"Complimentary Taj Epicure and EazyDiner Membership and 12,500 Bonus Reward Points"
ICICI Bank HPCL Coral Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-HPCL-Coral-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-hpcl-coral-credit-card/,Joining Fee     Rs. 199 + GST       Renewal Fee     Rs. 199 + GST    Best Suited For  Fuel | Shopping  Reward Type Reward Points Welcome Benefits  N/A,Rs. 199 + GST,Fuel | Shopping,Reward Points,N/A
ICICI Bank Emeralde Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/11/ICICI-Bank-Emeralde-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-emeralde-credit-card/,"Joining Fee     Rs. 1,000 + GST (per month)       Renewal Fee     Rs. 1,000 + GST (per month)    Best Suited For  Movies | Travel | Shopping  Reward Type Reward Points Welcome Benefits  N/A","Rs. 1,000 + GST (per month)",Movies | Travel | Shopping,Reward Points,N/A
Emirates Skywards ICICI Bank Rubyx Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/03/Emirates-Skywards-ICICI-Bank-Rubyx-Credit-Card.webp,https://cardinsider.com/icici-bank/emirates-skywards-icici-bank-rubyx-credit-card/,"Joining Fee     Rs. 1,000 + GST       Renewal Fee     Rs. 1,000 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  NA","Rs. 1,000 + GST",Travel,Reward Points,NA
Emirates Skywards ICICI Bank Sapphiro Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/03/Emirates-Skywards-ICICI-Bank-Sapphiro-Credit-Card.webp,https://cardinsider.com/icici-bank/emirates-skywards-icici-bank-sapphiro-credit-card/,"Joining Fee     Rs. 5,000 + GST       Renewal Fee     Rs. 5,000 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  5,000 bonus Skyward Miles and complimentary Emirates Skywards Silver Tier membership.","Rs. 5,000 + GST",Travel,Reward Points,"5,000 bonus Skyward Miles and complimentary Emirates Skywards Silver Tier membership."
Emirates Skywards ICICI Bank Emeralde Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/03/Emirates-Skywards-ICICI-Bank-Emeralde-Credit-Card.webp,https://cardinsider.com/icici-bank/emirates-skywards-icici-bank-emeralde-credit-card/,"Joining Fee     ₹10,000 + GST       Renewal Fee     ₹10,000 + GST    Best Suited For  Travel  Reward Type AirMiles Welcome Benefits  10,000 Skyward Miles and Emirates Skywards Silver Tier Membership","₹10,000 + GST",Travel,AirMiles,"10,000 Skyward Miles and Emirates Skywards Silver Tier Membership"
ICICI Manchester United Signature Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Manchester-United-Signature-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-manchester-united-signature-credit-card/,"Joining Fee     Rs 2,499 + GST       Renewal Fee     Rs. 2,499 + GST    Best Suited For  Movies | Travel  Reward Type Reward Points Welcome Benefits  Manchester United Branded Holdall and Football","Rs 2,499 + GST",Movies | Travel,Reward Points,Manchester United Branded Holdall and Football
ICICI Bank Manchester United Platinum Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-Manchester-United-Platinum-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-manchester-united-platinum-credit-card/,Joining Fee     Rs. 499 + GST       Renewal Fee     Rs. 499 + GST    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  Complimentary Manchester United Branded Football on card activation,Rs. 499 + GST,Shopping,Reward Points,Complimentary Manchester United Branded Football on card activation
ICICI Bank Parakram Select Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2023/05/ICICI-Bank-Parakram-Select-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-parakram-select-credit-card/,Joining Fee     Nil       Renewal Fee     Nil    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  N/A,Nil,Shopping,Reward Points,N/A
ICICI Bank Parakram Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2023/05/ICICI-Bank-Parakram-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-parakram-credit-card/,Joining Fee     Nil       Renewal Fee     Nil    Best Suited For  Travel | Shopping  Reward Type Reward Points Welcome Benefits  NA,Nil,Travel | Shopping,Reward Points,NA
ICICI Bank Mine Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/08/ICICI-Bank-Mine-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-mine-credit-card/,Joining Fee     Nil (Starter). Rs. 49 Monthly (Pro). Rs. 149 Monthly (Premium)       Renewal Fee     Nil (Starter). Rs. 49 Monthly (Pro). Rs. 149 Monthly (Premium)    Best Suited For  Dining  Reward Type Reward Points Welcome Benefits  NA,Nil (Starter). Rs. 49 Monthly (Pro). Rs. 149 Monthly (Premium),Add to Compare,Add to Compare,NA
ICICI Bank Ferrari Signature Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/09/ICICI-Bank-Ferrari-Signature-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-ferrari-signature-credit-card/,"Joining Fee     Rs. 3,999 + GST       Renewal Fee     Rs. 999 + GST    Best Suited For  Movies | Travel  Reward Type Reward Points Welcome Benefits  A Scuderia Ferrari Watch.","Rs. 3,999 + GST",Add to Compare,Add to Compare,A Scuderia Ferrari Watch.
Chennai Super Kings ICICI Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2022/03/Chennai-Super-Kings-ICICI-Bank-Credit-Card.webp,https://cardinsider.com/icici-bank/chennai-super-kings-icici-bank-credit-card/,"Joining Fee     Rs. 500 + GST       Renewal Fee     Rs. 500 + GST    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  2,000 bonus Reward Points.",Rs. 500 + GST,Add to Compare,Add to Compare,"2,000 bonus Reward Points."
Accelero ICICI Bank Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/Accelero-ICICI-Bank-Credit-Card.webp,https://cardinsider.com/icici-bank/accelero-icici-bank-credit-card/,"Joining Fee     Rs. 499 + GST       Renewal Fee     Rs. 499 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  Complimentary roadside repair services, car wash, general checkup, etc for the first year.",Rs. 499 + GST,Travel,Reward Points,"Complimentary roadside repair services, car wash, general checkup, etc for the first year."
ICICI Bank HPCL Platinum Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/06/ICICI-Bank-HPCL-Platinum-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-hpcl-platinum-credit-card/,Joining Fee     Rs. 199 + GST       Renewal Fee     Rs. 199 + GST    Best Suited For  Fuel  Reward Type Reward Points Welcome Benefits  N/A,Rs. 199 + GST,Fuel,Reward Points,N/A
InterMiles ICICI Bank Rubyx Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/InterMiles-ICICI-Bank-Rubyx-Credit-Card.webp,https://cardinsider.com/icici-bank/intermiles-icici-bank-rubyx-credit-card/,"Joining Fee     Rs. 2,500 + GST       Renewal Fee     Rs. 2,500 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  5,000 bonus InterMiles, flight discount voucher worth Rs. 500 and hotel discount voucher worth Rs. 1,000","Rs. 2,500 + GST",Travel,Reward Points,"5,000 bonus InterMiles, flight discount voucher worth Rs. 500 and hotel discount voucher worth Rs. 1,000"
InterMiles ICICI Bank Coral Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/InterMiles-ICICI-Bank-Coral-Credit-Card.webp,https://cardinsider.com/icici-bank/intermiles-icici-bank-coral-credit-card/,"Joining Fee     Rs. 1,250 + GST       Renewal Fee     Rs. 1,250 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  You get exclusive flights and hotels discount vouchers on booking from partner brand, www.intermiles.com, as a welcome benefit. You also get 2,500 bonus InterMiles on joining.","Rs. 1,250 + GST",Travel,Reward Points,"You get exclusive flights and hotels discount vouchers on booking from partner brand, www.intermiles.com, as a welcome benefit. You also get 2,500 bonus InterMiles on joining."
InterMiles ICICI Bank Sapphiro Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/InterMiles-ICICI-Bank-Sapphiro-Credit-Card.webp,https://cardinsider.com/icici-bank/intermiles-icici-bank-sapphiro-credit-card/,"Joining Fee     Rs. 5,000 + GST       Renewal Fee     Rs. 5,000 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  1 year InterMiles Silver Tier membership with 10,000 bonus InterMiles, a discount of Rs. 750 on flight bookings and Rs. 1,500 on hotel bookings (AmEx variant), a discount of Rs. 500 on flight bookings and Rs. 1,000 on hotel reservations (Visa variant).","Rs. 5,000 + GST",Travel,Reward Points,"1 year InterMiles Silver Tier membership with 10,000 bonus InterMiles, a discount of Rs. 750 on flight bookings and Rs. 1,500 on hotel bookings (AmEx variant), a discount of Rs. 500 on flight bookings and Rs. 1,000 on hotel reservations (Visa variant)."
ICICI Bank VISA Signature Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-VISA-Signature-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-visa-signature-credit-card/,"Joining Fee     Rs. 25,000 + GST       Renewal Fee     Rs. 2,000 + GST    Best Suited For  Shopping  Reward Type Reward Points Welcome Benefits  30,000 hand-picked rewards.","Rs. 25,000 + GST",Shopping,Reward Points,"30,000 hand-picked rewards."
ICICI Bank Diamant Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/09/ICICI-Bank-Diamant-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-diamant-credit-card/,"Joining Fee     Rs. 1,25,000 + GST       Renewal Fee     Rs. 10,000 + GST    Best Suited For  Movies | Travel  Reward Type Reward Points Welcome Benefits  Apple MacBook Air MMGG2HN/A worth Rs. 75,000 on realization of the joining fee","Rs. 1,25,000 + GST",Movies | Travel,Reward Points,"Apple MacBook Air MMGG2HN/A worth Rs. 75,000 on realization of the joining fee"
ICICI Bank British Airways Premium Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/09/ICICI-Bank-British-Airways-Premium-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-british-airways-premium-credit-card/,"Joining Fee     Rs. 7,000 + GST       Renewal Fee     Rs. 7,000 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  British Airways Executive Club membership and 8,000 Avios","Rs. 7,000 + GST",Travel,Reward Points,"British Airways Executive Club membership and 8,000 Avios"
ICICI Bank Carbon Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/07/ICICI-Bank-Carbon-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-carbon-credit-card/,"Joining Fee     Rs. 1,000 + GST       Renewal Fee     Nil    Best Suited For  Movies | Dining  Reward Type Reward Points Welcome Benefits  N/A","Rs. 1,000 + GST",Movies | Dining,Reward Points,N/A
ICICI Bank British Airways Classic Credit Card,https://cd9941cc.delivery.rocketcdn.me/wp-content/uploads/2021/09/ICICI-Bank-British-Airways-Classic-Credit-Card.webp,https://cardinsider.com/icici-bank/icici-bank-british-airways-classic-credit-card/,"Joining Fee     NIL       Renewal Fee     Rs. 3,500 + GST    Best Suited For  Travel  Reward Type Reward Points Welcome Benefits  Welcome bonus of 3,500 Avios.",NIL,Travel,Reward Points,"Welcome bonus of 3,500 Avios."
